Pos,Name,,Finish,time,,,Diff,,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,Name
PAPO,Canterbury,2.19,(10),7.5,(11),11.01,(9),16.12,(9),20.53,(10),26.4,(12),28.15,(9),30.34,(8),34.25,(10),36.43,(10),43.18,(9),52.02,(12),55.12,(12),1:00.20,(11),1:04.00,(11),1:05.14,(11),PAPO,Canterbury,,,,,,
12,Dominic,Cleary,1:09.11,24.32,2.16,(9),5.33,(12),3.48,(18),5.05,(12),5.4,(19),5.13,(10),3.54,(26),3.46,(20),3.38,(11),2.08,(11),6.05,(5),6.12,(17),3.24,(15),6.38,(15),4.21,(14),1.3,(17),Dominic,Cleary,,,
PAPO,Canterbury,2.16,(9),7.49,(10),11.37,(14),16.42,(14),22.22,(15),27.35,(13),31.29,(18),35.15,(18),38.53,(16),41.01,(14),47.06,(14),53.18,(14),56.42,(14),1:03.20,(12),1:07.41,(13),1:09.11,(12),PAPO,Canterbury,,,,,,
13,Sara,Prince,1:09.13,24.34,2.51,(18),5.43,(13),2.41,(7),4.44,(11),4.48,(13),5.28,(12),2.13,(15),2.46,(12),4.04,(14),2.39,(18),8.03,(14),7.1,(21),3.25,(16),6.55,(19),4.08,(13),1.35,(21),Sara,Prince,,,
PAPO,Canterbury,2.51,(18),8.34,(16),11.15,(11),15.59,(8),20.47,(8),26.15,(10),28.28,(10),31.14,(11),35.18,(11),37.57,(11),46,(13),53.1,(13),56.35,(13),1:03.30,(13),1:07.38,(12),1:09.13,(13),PAPO,Canterbury,,,,,,
14,Craig,Pelvin,1:11.55,27.16,2.5,(17),6.16,(19),3.37,(16),3.47,(4),4.32,(10),5.15,(11),2.32,(19),2.11,(6),3.21,(8),2.06,(10),7.29,(10),5.29,(9),2.37,(6),12.23,(26),6.13,(25),1.17,(11),Craig,Pelvin,,,
DOC,Otago,2.5,(17),9.06,(18),12.43,(18),16.3,(10),21.02,(11),26.17,(11),28.49,(11),31,(10),34.21,(9),36.27,(9),43.56,(10),49.25,(9),52.02,(9),1:04.25,(14),1:10.38,(14),1:11.55,(14),DOC,Otago,,,,,,
15,Tim,Dennis,1:13.57,29.18,2.35,(15),6.32,(21),3.01,(9),4.43,(9),4.58,(14),6.03,(18),2.01,(8),4.5,(26),4.23,(15),2.26,(14),9.14,(19),6.01,(14),2.45,(8),7.26,(21),4.57,(20),2.02,(25),Tim,Dennis,,,
DOC,Otago,2.35,(15),9.07,(19),12.08,(16),16.51,(16),21.49,(14),27.52,(14),29.53,(13),34.43,(17),39.06,(18),41.32,(17),50.46,(16),56.47,(15),59.32,(15),1:06.58,(15),1:11.55,(15),1:13.57,(15),DOC,Otago,,,,,,
16,Alister,Metherell,1:14.21,29.42,3,(19),6.29,(20),3.33,(15),5.21,(17),5.36,(17),5.37,(15),2.15,(16),3.47,(22),4.36,(17),2.32,(15),9.15,(20),5.54,(12),3.29,(17),6.45,(16),4.38,(17),1.34,(20),Alister,Metherell,,,
